cycle,inner_call,train_examples,test_examples,accuracy,given_accuracy,blank_accuracy
0,0,51840,12960,0.47762346267700195,1.0,0.24517783522605896
0,1,51840,12960,0.6707561612129211,1.0,0.5242502093315125
1,0,51840,12960,0.6881944537162781,1.0,0.5494480729103088
1,1,51840,12960,0.7064814567565918,1.0,0.5758724212646484
2,0,51840,12960,0.7251543402671814,1.0,0.6028542518615723
2,1,51840,12960,0.7416666746139526,1.0,0.6267142295837402
3,0,51840,12960,0.7522376775741577,1.0,0.6419890522956848
3,1,51840,12960,0.7590277791023254,1.0,0.6518006324768066
4,0,51840,12960,0.7593364119529724,1.0,0.6522466540336609
4,1,51840,12960,0.7690586447715759,1.0,0.6662949919700623
5,0,51840,12960,0.7757716178894043,1.0,0.6759951114654541
5,1,51840,12960,0.781558632850647,1.0,0.684357225894928
6,0,51840,12960,0.7885802388191223,1.0,0.6945033073425293
6,1,51840,12960,0.7903549671173096,1.0,0.6970676779747009
7,0,51840,12960,0.7942901253700256,1.0,0.7027539014816284
7,1,51840,12960,0.7896605134010315,1.0,0.6960642337799072
8,0,51840,12960,0.7969135642051697,1.0,0.7065447568893433
8,1,51840,12960,0.7993826866149902,1.0,0.7101126313209534
9,0,51840,12960,0.7989969253540039,1.0,0.7095551490783691
9,1,51840,12960,0.8006172776222229,1.0,0.711896538734436
10,0,51840,12960,0.8017746806144714,1.0,0.7135689854621887
10,1,51840,12960,0.8033950328826904,1.0,0.7159103751182556
11,0,51840,12960,0.8004629611968994,1.0,0.7116735577583313
11,1,51840,12960,0.8027006387710571,1.0,0.7149069309234619
12,0,51840,12960,0.8015432357788086,1.0,0.7132344841957092
12,1,51840,12960,0.8023919463157654,1.0,0.7144609093666077
13,0,51840,12960,0.8050925731658936,1.0,0.7183632254600525
13,1,51840,12960,0.8031635880470276,1.0,0.7155758738517761
14,0,51840,12960,0.8024691343307495,1.0,0.7145724296569824
14,1,51840,12960,0.800694465637207,1.0,0.712007999420166
15,0,51840,12960,0.8037037253379822,1.0,0.7163563370704651
15,1,51840,12960,0.8062499761581421,1.0,0.7200356721878052
